,question,answer
0,히알루론산하고 콜라겐하고 섞인 영양제 있어요?,네 히알루론산하고 콜라겐하고 섞인 영양제 중에 비싼 제품은 육만원입니다
7,히알루론산이요?,"네, 맞아요"
14,히비스커스라는 식물 이름이 있어요?,"네, 루이보스, 히비스커스, 레몬밤 모두 허브 종류이고, 그 종류 별로 허브차가 나와요"
15,흰옷에 얼룩 묻은 것도 해줘요?,"네, 얼룩 제거 가능합니다"
18,흰색은 봄 상품 나올 때 봐야 되겠네요?,그렇습니다
19,흰색으로 280  주세요,네 잠시만 기다리세요
21,흰색도 많이 신어요?,네 흰색 검정은 진짜 무난하게 신을 수 있어요
22,흰색 전면만 할 수 있지요,네 흰색 번호판 한 쪽만 하실 수가 있으시고요
25,흰머리 염색하세요?,네 흰머리 염색이요
27,흰 색도 한 번 신어볼게요,네
46,흡연실은 따로 있어요?,예 흡연실은 따로 있습니다
47,흡연실은 따로 있어요?,예 흡연실은 따로 있습니다
48,흡연실은 따로 있는 있나요?,예 흡연실은 따로 있습니다
49,흡연실은 따로 있나요?,"네, 그래서 다른 장소는 금연구역입니다"
51,흡연실은 따로 마련되어 있나요?,"네, 다른 구역은 금연이라 흡연실에서만 흡연 부탁합니다"
52,흡연실은 따로 되어있어요?,네 흡연실은 저쪽편에만 있습니다
54,흡연실에 재떨이 있나요?,"네, 재떨이랑 다 구비되어 있어요"
56,흡연실도 따로 있나요?,"네, 흡연실 따로 있습니다"
58,흡연실도 따로 있나요?,예 흡연실은 따로 있습니다
60,흡연실도 따로 마련이 되어 있나요?,네 2군데 마련되어 있습니다
61,흡연실도 따로 마련되어 있나요?,네 흡연실 마련 되어 있습니다
62,흡연실도 따로 마련되어 있나요?,예 흡연실은 요즘 법이 강화되서 되어 있답니다
63,흡연실도 따로 다 마련이 되어있으시고?,"네, 흡연실 외는 금역구역입니다"
64,흡연실도 따로 다 마련이 되어있구요?,예 흡연실도 있습니다
65,흡연실도 다 만들어져 있어요?,네 흡연실 다 있습니다
66,흡연실도 다 마련이 되어 있나요?,네 흡연실도 저쪽 보시면 있습니다
67,흡연실 있나요?,네 안쪽으로 들어가시면 있어요
68,흡연실 있나요?,네 저쪽 코너에 오른쪽으로 보시면 흡연실 있습니다
69,흡연실 이런거 구비되어 있나요?,네 흡연실 다 있습니다
73,흡연부스 있나요?,네 있습니다
74,흡연부스 있나요?,네 있습니다
76,흡연구역은 따로 없나요?,네 여기는 금연 PC방입니다
79,흡연 구역은 따로 있나요?,네 흡연구역 있습니다
87,흉터 예방하려면 뭐 발라야 돼요?,흉터 예방 연고는 다 아물고 난 뒤에 바르셔야 돼요
95,휴지 좀 주실래요?,네 휴지 드리겠습니다
96,휴지 좀 더 가져다주세요,네 휴지 가져다드릴게요
97,휴지 좀 가져가도 되는거죠?,네 휴지 가져가셔도 되시고 음료 나왔습니다
98,휴지 조금 더 가져가도 되죠?,네 가능하세요
99,휴지 조금 더 가져가도 되나요?,네 휴지 가져가셔도 됩니다
102,휴일은 일요일인가요?,네 일요일만 쉽니다
105,휴일에도 문 여나요?,"네, 365일 영업합니다."
114,휴무날은 없어요?,네 따로 없어요
117,휴대폰도 강제로 제출받아요?,맞아요 그런데 고등학생은 안해요
118,휴대폰 충전도 할 수 있나 봐요?,네 근데 갤럭시 신형은 안돼요
119,휴대폰 충전기를 빌릴 수 있을까요?,"네, 무료로 대여해드려요"
126,휴게실이 밖에 있나요?,네 휴게실은 밖에 있습니다
128,휴게실도 있어요?,"네, 당연히 있습니다"
131,휴 그럼 염색만 가능할까요?,네 염색하시고 다음에 펌 하시면 좋을 거 같아요
132,휠체어를 사용하는 직원이 있어서 엘리베이터가 필요할 것 같아요,그럼 1층에 위치한 곳이 좋겠네요
138,휘핑크림 추가되나요?,네 당연하죠
139,휘핑크림 올려주실 수 있나요?,네 올려드리겠습니다
140,휘핑크림 올려드릴까요?,네 많이 올려주세요
141,휘핑크림 올려드릴까요?,네 많이 주세요
142,휘핑크림 올려드릴까요?,네 올려주세요
144,휘핑크림 올려드릴까요,네 많이 올려주세요
146,휘핑크림 얹어드릴까요?,네 많이 얹어주세요
152,휘핑 올려드릴까요?,네 많이 올려주세요
153,휘핑 올려드릴까요?,네 올려주세요
158,후추 있으면 좀 주세요,네 많이 넣지 말고 조금만 흩뿌리세요
159,후추 넣으면 맛있어요?,네
163,후시딘 하나 주세요,네 여기있습니다
164,후시딘 작은 거 하나도 주세요,네 알겠습니다
169,후불로도 결제할 수 있나요?,예 후불 결제도 가능합니다
171,후불로도 결제가 가능한가요?,예 후불로 결제 가능합니다
174,후불로 할게요,네 카드 가져가세요
175,후불로 하고 있어도 되나요?,네 자리에 PC예약 되어있는거 풀어드릴게요
176,후불로 이용해도 되나요?,네 후불로 이용해도 되세요
178,후불로 두 자리 주세요,네 33번 34번 이용해주세요
182,후불결제도 가능한가요?,네 후불결제도 물론 가능합니다
183,후불 가능한가요?,네 가능합니다
184,후룩 떡볶이로 교체할 경우 추가 요금이 있나요?,네 500원의 추가 요금 있습니다
191,후드 돋바인가?,네 이런 거 많이 나갑니다 
192,후기 쓴다고 하면 감자튀김 서비스로 주시는 거 맞죠?,네
200,회화만 따로 하는 반은 없나요?,네 따로는 없어요
207,회초밥 도시락 하나 해주세요,네
208,회전초밥용 스시는 한접시에 두개씩이네요?,네 맞아요
210,회원카드는 충전해서 사용하는거에요?,네 교통카드처럼 만 원이면 만 원 충전해서 사용하면 됩니다 
212,회원제인가요?,네 회원가입 후 이용하시면 됩니다
215,회원제가 따로 있나요,네 운영하고 있습니다
216,회원이 저렴한 편이죠?,네 1시간에 800원이에요
217,회원이 아닌 일반인들은 예약이 불가한가요?,어린이날은 추첨이라 일반인들은 예약이 안 되고 당일에 취소하신 분들이 있으면 예약이 가능하세요
225,회원들한테?,"네, 회원들한테는 5프로, 10프로 같은 할인 쿠폰도 하나 드려요"
226,회원권이나 레슨은 있나요?,네 회원권과 당구 레슨 모두 준비되어있습니다
228,회원가입했는데 아이디 #이름#으로 충전해주세요,네 나가실 때 종료 버튼 꼭 눌러주세요
229,회원가입해야 하나요?,네 해야 가능하십니다
234,회원가입할게요,네 가입시켜드리겠습니다
239,회원가입하고 결제 가능하네요?,네  회원가입해주셔야 해요
256,회원가입을 할 수 있나요?,네 원하는 자리에서 회원가입을 진행하시면 됩니다
259,회원가입을 안해도 이용할 수 있나요?,네 그러시면 비회원으로 이용하면 됩니다
260,회원가입을 안 해도 이용이 가능할까요?,예 비회원도 이용 가능합니다
262,회원가입을 안 해도 사용이 가능한가요?,예 회원가입을 안해도 사용 가능합니다
263,회원가입은 자리에서 하면 되죠?,네 로그인 화면에서 하시면 됩니다
270,회원가입 안하고도 이용할 수 있나요?,네 후불카드나 선불기계 사용하시면 돼요
271,회원가랑 비회원가랑 혹시 다른가요?,예 회원가랑 비회원가랑 다릅니다
273,회원가랑 비회원가랑 가격 차이는 있는건가요?,예 조금 차이 있습니다
277,회원 카드 하나 만들어 주세요,네 성함이랑 전화번호 적어 주세요
285,회색도 좀 보여주세요,네 여기 있습니다
286,회색도 가격이 똑같은가요?,네 동일합니다
287,회색 한가지예요?,네 한가지예요
288,회색 제품 라지 사이즈로 입어 봐도 될까요?,네 가져다드릴게요
293,회사들이 모여있는 동네인가요?,네 직장인들 상대로 가게를 여시면 사업 수완엔 문제없으실 겁니다
294,회사 사무실 임대하려 하는 데 있나요?,네 있습니다
299,회냉면은 냉면인데 회가 올려져 있는 거예요?,네
301,황사마스크도 하나 주세요.,네.
315,환불도 가능해요?,"네, 환불도 가능하세요"
316,확장되는 걸로 한 번 볼 수 있을까요?,네 이쪽에 있는 것들이 확장 가능한 27인치 가방들이에요
318,확인해 보겠습니다. 그랜저 차량 확인 되는데 맞습니까?,네 맞아요
321,확인되신 건가요?,네 빨간색이랑 검은색 있네요
323,"확인되셨고, 1인실 맞으시죠?","네, 그렇게 예약했습니다"
327,확인 안내해 드리겠습니다. 먼저 차량 번호 확인하셨습니까?,예예 이십 로에 일구삼팔
329,확인 감사합니다. 현재 이 차가 선생님 장애 엘피지차량으로 확인 됐는데요 어 현재 차주가 단독으로 되어 있습니까?,아뇨 공동 돼 있죠 그래 단독으로 몰 몰을라고예
