,question,answer,label
6,hubsan h507a x4 star pro drone 360 derece takla atabiliyor mu?,"hayır, 360 derece takla atamazsınız.",no
25,icom jihlava otobüsünde tuvalet var mı?,"hayır, icom jihlava otobüslerinde genellikle tuvalet yoktur. endişelenmeyin. otobüs, yolculuğunuz sırasında molalar verecektir. bu sırada yürüyüş yapabilir, tuvaleti kullanabilir ve atıştırmalıklar alabilirsiniz.",no
33,"apartment on vokzalnaya 55b, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
49,samsung s6 edge batarya değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. samsung s6 edge batarya değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
76,hotel agalia içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında real casino murcia kumarhanesi (19 dk. yürüme mesafesi) bulunur. ",no
120,"camplus guest palermo, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
128,iphone 8 kamera entegresi değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. iphone 8 kamera entegresi değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
137,hotel restaurant lagrev içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında casino st. moritz (22 dk. araçla gidiş mesafesi) bulunur. ",no
149,casa al massimo misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında ücretsiz otopark yok. ",no
153,mariobet belge istiyor mu?,"hayır, mariobet casino sitesi üyelerinden belge talep etmemektedir.",no
177,"b&b san michele, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
192,"salkim konak agac evler, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
197,kite view resort içinde kumarhane var mı? ,"hayır, bu motel kumarhane içermez. ancak yakında red shores racetrack and casino (28 dk. araçla gidiş mesafesi) bulunur. ",no
205,doubletree resort by hilton hollywood beach içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında mardi gras kumarhanesi (5 dk. araçla gidiş mesafesi) ve gulfstream park racing and casino (7 dk. araçla gidiş mesafesi) bulunur. ",no
232,hotel isabel içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında majestic casino (7 dk. araçla gidiş mesafesi) bulunur. ",no
275,videolar tweetteki karakter sınırına dahil edilir mi?,"hayır, videolar tweetteki karakter sınırına dahil edilmez.",no
299,samsung a8 2015 ekran değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. samsung a8 2015 ekran değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
314,ara sınıflarda öğrenci alıyor musunuz?,hayır. darüşşafaka sınavına ilkokul dördüncü sınıfta okuyan öğrenciler katılabilir. öğrenciler 5. sınıftan 12. sınıfın sonuna kadar darüşşafaka eğitim kurumları’nda eğitim görüyor.,no
324,endless legend™ - inferno türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
328,papazin konagi misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında indiirmli otopark yok. ",no
374,pod 51 havalimanına ücretsiz transfer hizmeti sunuyor mu?,"hayır, pod 51 havalimanına ücretsiz transfer hizmeti sunmamaktadır.",no
384,"yeetdl, çevrimdışı dosyaları da mp3'e dönüştürür mü?","hayır. yeetdl, youtube video içeriğinin mp3 formatında çevrimdışı olarak depolanmasını sağlayan bir youtube i̇ndirici ve dönüştürme aracıdır.",no
389,yvr whistler/skylynx otobüslerinde elektrik prizi ya da usb çıkışı var mı?,"hayır, yvr whistler/skylynx otobüslerinde elektrik prizi ya da usb çıkışı yok. pilinizin bitmeyeceğinden emin olmak için bir paket pil getirmenizi ya da otobüs yolculuğunuz boyunca eğlenmeye devam etmek için iyi bir kitap getirmenizi öneririz!",no
390,xiaomi redmi note 9t ekran değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi redmi note 9t ekran değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
393,thessaloniki şehrinde geçici ehliyete sahip araç kiralayabilir miyim?,"hayır, birlikte çalıştığımız tüm araç kiralama acenteleri geçici ehliyet kabul etmiyor. araç kiralayabilmeniz için tam bir ehliyetinizin olması gerekir. ",no
420,asyabahis belge istiyor mu?,"hayır, ödeme işlemleri veya diğer işlemler için site belge talep etmemektedir.",no
432,gizabet belge istiyor mu?,"hayır, her hangi bir işlem esnasında gizabet belge talebinde bulunmamaktadır.",no
437,signature hotel astoria hamburg içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında gezi yolu kumarhanesi (3 dk. araçla gidiş mesafesi) bulunur. ",no
465,kalış süremi 45 günlük sınırın ötesine uzatabilir miyim?,"hayır, kalış süresinin uzatılmasına izin verilmemektedir. eğer izin verilen 45 günden fazla kalmak istiyorsanız tacikistan’dan ayrılmalı ve yeni bir vize için başvuruda bulunmalısınız.",no
466,"bu kır evi, misafirlerine otelde otopark imkânı sunuyor mu? ","maalesef hayır, ancak araçlar sokağa park edilebilir. ",no
478,orodò luxury bed & breakfast misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında ücretsiz otopark yok. ",no
485,vampire: the masquerade - coteries of new york türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
504,iphone 6s plus 4013 hatası çözümü sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. iphone 6s plus 4013 hatası çözümü hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
527,vk ya girmek yasak mı?,hayır herhangi bir yasak yada kısıtlama yoktur.,no
529,pasaport fotoğrafı çekerken gözlüğümü çıkarmalı mıyım?,"hayır, numaralı gözlüklerinizi çıkarmanız gerekmez. sağlık sebepleriyle kullanmakta olduğunuz numaralı gözlüklerinizle türk pasaport fotoğrafı çekebilirsiniz. ancak güneş gözlüğü gibi ya da imaj gözlüğü gibi renkli gözlükler türk pasaport fotoğrafında takılamaz, fotoğrafınız reddedilir.",no
531,st marks hotel içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında resorts world casino (21 dk. araçla gidiş mesafesi) bulunur. ",no
540,quality inn içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında island view casino (11 dk. araçla gidiş mesafesi) ve ip casino (17 dk. araçla gidiş mesafesi) bulunur. ",no
552,twitter yorum satın almanın dezavantajları var mı? ,"hayır bu hizmetin herhangi bir dezavantajı bulunmamaktadır. aksine, aldığınız yorumlar doğrultusunda hesabınızın imajı olumlu olarak şekillenecektir. ",no
557,xiaomi redmi note 8 ses açma kapama tuşu değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi redmi note 8 ses açma kapama tuşu değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
562,efi hotel içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında casino  brno (14 dk. yürüme mesafesi) bulunur. ",no
582,"casa rural antonio, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
