question,answer,label
लाउडस्पीकर के जवाब में मस्जिदों के सामने हनुमान चालीसा पढ़ने के राज ठाकरे के एलान से क्या आप सहमत हैं?,"पूरी तरह से सहमत हैं। कायस्थ शेर बाला साहेब ठाकरे की छवि हम राज ठाकरे जी में देखते हैं।
जय श्री राम।🙏🚩",Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",हाँ पहले उसे हटाओ वो भी तो दो से ज़्यादा है.. उसके बाद बात करते हैं,Yes
प्रधानमंत्री जी अगर हम आपको गुलदस्ते की जगह किताब दे तो क्या आप हमें अच्छे दिन दे देंगे ?,"मोदी जवाब दे या ना दे, पर आप ने भक्तों को जीते जी जला दिया।",Yes
इस बारे में भी सोचें- क्या हम विकलांग के जगह दिव्यांग शब्द का प्रयोग कर सकते हैं?,ईस देश को बदलाव की बहुत जरूरत है सर जी,Yes
करेंसी और बैंकिंग से विश्वास उठ जाने की मनमोहन सिंह की बात से क्या आप सहमत हैं?,हाँ इतने घोटाले करने के बाद भी अगर पैसा अपना ना रहा तो विश्वास उठना लाज़मी है।,Yes
क्या आप दिन-दहाड़े जनादेश का निर्मम बलात्कार करने वाले मैंडेट रेपिस्ट का मानसिक उपचार करने वाले किसी देशभक्त मनोचिकित्सक को जानते है?,"आए कभी गुजरात , अमित शाह जी इधर ही है आजकल  😂😂😂😂",Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",हा अब योगी जी के इस नीति से सहमत है इसमें दो बच्चो से ज्यादा के लोगो का मतदान का हक भी छीना जाए ।,Yes
"अभी एक ऑटो रिक्शा वाले को खचाखच सवारियाँ भरकर ले जाते देखा तो मैंने कहा, भाई आपको पता नहीं है क्या आप ऑटो रिक्शा में एक ज़्यादा सवारी नहीं बिठा सकते?",फिर योगी जी आये और उन्होंने कहा अपनी बस वापस ले जाओ और लोगो को सड़क पर मारने दो।,Yes
श्रीकृष्ण जन्मभूमि अवैध मस्जिद कब्जा मुक्त हो - -क्या आप सहमत हैं?,जी हां हम सहमत हैं श्री कृष्ण जन्म भूमि अवैध कब्जा मस्जिद बनी है जो वहां मस्जिद को हटाकर श्री कृष्ण मंदिर का पुल निर्माण होना चाहिए,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",इस सरकार का ये काम हमें अच्छा लगा। yes,Yes
भाजपा विधायकों के साथ पंजाब में बेहद ग़लत हो रहा है . बड़े केंद्री नेताओ को पंजाब की कमान थामनी चाहिए और यहाँ आ कर माहोल ठीक करना चाहिए . क्या आप सब भाई भी सहमत हो ?,"बिल्कुल सही फरमा रहे हैं सर आप, बड़े-बड़े नेताओं का गांव विधायकों के गांव के मुकाबले सुना है कि थोड़ा मजबूत होता है 😜😜😜😜😂😂😂😂",Yes
करोना वायरस के ख़िलाफ़ कि इस जंग में मैं एक सैनिक के नाते काम कर रहा हूँ। क्या आप मेरा साथ दोगे....?,सभी सरकार एंव प्रधानमंत्री जी के आदेश का पालन करे,Yes
"देश, धर्म और समाज के लिए लड़ना आसान तो नहीं है, पर कुछ कर्ज़ भी तो है समाज के प्रति जो चुकाने है। क्या आप भी चुकाना चाहेंगे?",जी आदरणीय सादर। उसी राह पर हूँ ।,Yes
"BHU की छात्राओं पर की गयी बर्बर लाठी चार्ज की मैं निंदा करता हूँ। उनकी माँग केवल सुरक्षा थी ,क्या यह माँग अनुचित थी?",आपलोगों से लोग इतना चिढ़े हुए है कि आप लोग सपोर्ट करेंगे तो मांग अनुचित कही जाने लगेगी। भगवान के लिये आंदोलन सही से आगे बढ़ने दीजिये,Yes
क्या आप देश में सभी नागरिकों के लिए एक जैसे कानून (समान नागरिक संहिता) चाहते हैं?,हाँ अपनी मज़हबी आज़ादी के साथ सभी नागरिकों के लिए एक जैसे कानून (समान नागरिक सहिंता) चाहते हैं।,Yes
"साथियों, इस निरंकुश, तानाशाह, जन-विरोधी सरकार की कु-नीतियों के ख़िलाफ़ मैं संघर्ष यात्रा शुरू करने जा रहा हूँ - क्या आप साथ हैं ?",भाजपा वाले तुमलोग हिन्दू खतरे में है बोल कर मोदी जी को बचा लो हैम लोग अपने तरीके से राज्य बचा लेंगे,Yes
फोन पर जब इधर से पूछा गया कि क्या आप दाऊद की पत्नी हैं ?,"फोन लगाकर क्या बताना चाह रहे थे, की दाऊद जी उठ जाइये और ठिकाना बदल लीजिये।भारत का सुभाष चंद्र बोस अजित डोवाल आ रहा है",Yes
"अभी एक ऑटो रिक्शा वाले को खचाखच सवारियाँ भरकर ले जाते देखा तो मैंने कहा, भाई आपको पता नहीं है क्या आप ऑटो रिक्शा में एक ज़्यादा सवारी नहीं बिठा सकते?",सही कहा... देश के हालत ऐसे ही चल रहें है..,Yes
"सलमान_खान की अगली फ़िल्म ""कभी ईद कभी दिवाली” आ रही है, क्या आप बहिष्कार करेंगे?",हा कोई इस कटु की फिल्म ना देखगे,Yes
"क्या आप ""पेट के दाँत"" ठीक करने वाले किसी  डेंटिस्ट को जानते है?",चारा की कोई गांठ फस गई है लालू जी mri करबा लें,Yes
"सुदर्शन का रिपोर्टर CM के प्रेसकॉन्फरेंस में रहेगा तो हम बहिष्कार करेंगे, मेवात के कुछ पत्रकारों का प्रशासन को अल्टिमेटम... क्या यह पत्रकारिता हैं?",सुरेश जी पत्रकारिता  क्या है पहले आप को सीखना चाहिए,Yes
"सलमान_खान की अगली फ़िल्म ""कभी ईद कभी दिवाली” आ रही है, क्या आप बहिष्कार करेंगे?",जी हमने तो कई सालों से इन लोगों की फिल्मों का बहिष्कार कर दिया है,Yes
