,pre_turn_1,pre_turn_2,pre_turn_3,pre_turn_4,question,answer,after_turn_1,after_turn_2,after_turn_3,after_turn_4
0, , ,嗨！,你好。,你最近有听说过《中国女排》这部电影嘛？,不好意思唉，我已经很久没有去关注电影了，你可以给我讲述一下这是什么电影嘛。,当然可以了，这部片子主要是讲述了女排这些年的历史，而且听说这部戏里面的郎平教练会是巩俐来出演。,真的啊，我觉得我都好久没有看过巩俐的电影了，我突然好期待这部电影啊。,是呀，我觉得这部《中国女排》应该能拿下很高的收视率。,肯定会的，毕竟这也是中宣部与国家体育总局联合拍摄，肯定是会很好看的。
1, , ,嗨，你好。,你好。,你最近再看ATP的比赛吗？,我之前再看，最近比较忙就没看了，这几天又有什么比赛吗？,昨晚的比赛特别的精彩费德勒对战西西帕斯，结果豪取23连胜。,哇塞那么厉害，我之前就看过他的比赛他确实打的挺好的。,费德勒将和德米诺争取最后的冠军。,费德勒真的是没让人失望，等会回去我也看看，不能错过这场比赛。
2, , , ,你好啊,你好，有事吗？,没有，就是我看小姐姐在关注苹果产品，所以九年好奇的想问问小姐姐是果粉啊？,好吧，还好了，也不是那种很痴迷的果粉,好吧，那你有没有看到iPhone12的样子啊？,嗯？iPhone12的样品图已经出来了吗？我不知道欸,对啊，前几天就有人在网上爆出来了
3,好吧，还好了，也不是那种很痴迷的果粉,好吧，那你有没有看到iPhone12的样子啊？,嗯？iPhone12的样品图已经出来了吗？我不知道欸,对啊，前几天就有人在网上爆出来了,好吧，什么样的啊？是5G 吗？,不知道是不是5G的，跟11一样，都是浴霸摄像头，但是回归到以前的金属包边了,哦~还有呢？就只是换成金属包边了吗？其他没变化啊？,有啊，没有了刘海，我觉得这次的粉色跟紫色超级好看,好吧，我自己去网上搜来看看,好吧，如果出来了你会不会换手机啊？
4, , ,你好啊。,你好。,你知道最近赌王的女儿恋情吗？,哪个赌王啊？我不知道啊。,就是那个香港赌王啊，他女儿叫何超莲，和窦骁在谈恋爱啊。,啊，何超莲是赌王的女儿吗？我都不知道啊。,是赌王的女儿啊哈哈，何君猷的姐姐啊。,啊，何君猷的姐姐吗？何君猷不是和奚梦瑶在谈恋爱吗？
5,嗯嗯，前两天湖人还客场七连胜的，每一场比赛都打的很精彩。,能想到啊，詹姆斯不是在湖人吗，他那么厉害。,哎，你也知道詹姆斯啊，我也喜欢詹姆斯哈哈。,我不喜欢他啊，我只是知道他打球很好而已，我朋友很喜欢他。,这样啊，那你有喜欢的篮球运动员吗？,没有特别喜欢的吧，都一般，我只是喜欢篮球这个运动，运动员什么的我不喜欢。,那你平时也会打篮球吧？,是啊，平时周末什么的就打打篮球，就当锻炼锻炼身体吧，上班太憋屈了。,我也觉得上班很憋屈，但是我都不会运动所以也没怎么锻炼哈哈。,其实可以跑跑步啊，去健身房锻炼一下，也可以的，不一定非要打球什么的。
6,我也是中超的忠实爱好者，你又喜欢的队伍吗？,有啊，曼联我就很喜欢，感觉他们很团结，虽然现在球技没有以前好了。,那你应该知道贝尔巴托夫吧？,当然知道了，他之前在曼联队踢过足球啊，而且他球技很好啊！,那你知道他退役的事情了吗？,不知道啊，他退役了嘛？我都很久没有关注他了，他都不在曼联很久了。,前段时间他久宣布退役了，我觉得划算很可惜的。,确实很可惜，不过现在我感觉英超需要猛将，他的打法也许不太适合了。,他的打法是毕竟飘逸，是没有那么凶猛，不过中球率还是很高啊。,那我实在想不出来他是为什么退役了，你觉得呢？
7,你好。,你最近在关注5G的消息吗？,有关注一些吧。但是没关注很多。,我都不知道这样下去什么时候才能有5G网络。,不说是明年就可以建成5G全覆盖了吗？,没有吧，我之前有看新闻基站在居民楼旁边很难建成呢，因为那些人不让建。,为什么不让建啊？他们都不想用5G网的吗？,没有吧，他们说在房子旁边建基站有辐射对身体不好什么什么的。,这个很早之前就辟谣了吧，基站没有辐射啊。,不知道，反正他们就是不让建啊，感觉我们周围应该也是这样，本来现在网就卡，以后也卡。
8,有关注一些吧。但是没关注很多。,我都不知道这样下去什么时候才能有5G网络。,不说是明年就可以建成5G全覆盖了吗？,没有吧，我之前有看新闻基站在居民楼旁边很难建成呢，因为那些人不让建。,为什么不让建啊？他们都不想用5G网的吗？,没有吧，他们说在房子旁边建基站有辐射对身体不好什么什么的。,这个很早之前就辟谣了吧，基站没有辐射啊。,不知道，反正他们就是不让建啊，感觉我们周围应该也是这样，本来现在网就卡，以后也卡。,是啊，我们家网也很卡，路由器都没法用呢。,我们家也是，每次打游戏都卡，我真的很想砸了手机啊。
9, , ,"嗨,你好!",你好!,同学你是要踢足球吗?,"对呀,今天不是学校放假,操场人少就想踢会.","哦,是这样呀,其实我也是一个足球爱好者.","我很喜欢结交踢足球的人,可以一起打会不.","这个当然可以,不过你要等下我,我想练练身.","嗯嗯,对了你最近有看过什么足球报道和比赛没."
10, , ,"哈喽,你好!",你好!,"我看你拿着足球,你是要打足球吗?","是呀,今天不是天气好呀,所以想去打会.","哦,是这样呀,那我可以参加一个不.","可以呀,不过我要热下身,你要等一下我.","嗯嗯,你最近看什么足球比赛和报道没.","没有哦.最近没时间看这些哦,什么报道吗."
11, , ,嗨！,哈喽！,你有看最近的欧冠比赛吗？,现在工作都没有事件看也，你看了吗？,对啊，要不要我给讲讲。,可以啊，你说说吧，我好久没有看足球了。,最近的欧冠比赛阿扎尔上来就有些过于激进了。,他我知道，他老婆最近不是生下第四个孩子了吗？
12, , ,嗨!,哈喽！,你最近有看斯诺克比赛吗？,没有也，我平时都不怎么看斯诺克比赛的。,那你要我给你介绍下最近的局势吗？,可以啊，我之前看过马克-艾伦的比赛，但是最近很久没在关注了。,马克-艾伦近期的比赛也是险胜，而且他现在的继子好像打台球很厉害。,我知道也，我看过他继子的照片，长得好乖呀，现在才14岁，好可爱啊。
13,是啊，听说他现在的成绩已经很优秀了，这么小，还要这样的父亲，前途无可限量啊。,就是啊，而且他们关系也挺好的。,说到台球，我以前就在学校里面玩过一点。,是啊，我们学校也有开，很多男生都喜欢去玩。,你玩过吗？,没有，我不会啊，我都是在旁边看着的。,那你想学打台球吗？,可以吗？你就可以教我吗？,当然可以啊，我们下次约个时间，在我们学校见吧。,好呀，我也想多学学其他的运动呐。
14, , ,嗨，你好。,你好。,你看过张若昀演的《谍战深海之惊蛰》这部电视剧吗？,没有呢，我这么喜欢张若昀，我竟然错过了这部电视剧呢。,这部可是谍战类型的，你喜欢看吗？,说实话我还真的不太喜欢这种谍战的，如果好看，我还是会看的。,看来你是真的喜欢这个张若昀哦，连不喜欢看的电视剧，你都要看一下。,哈哈，那是，那这部电视剧的主演有哪些呢？
