,question,answer
72,흡연석 있나요?,아니요 없습니다
81,흡연 가능한가요?,아니요
130,휴게실도 따로 있어요?,휴게실이 따로 있는 건 아니고 자습실도 있고 교실은 많습니다
143,휘핑크림 올려드릴까요?,아니요 그냥 주세요
145,휘핑크림 올려 드릴까요?,아니요
147,휘핑크림 얹어 드릴까요?,아니요 빼주세요
149,휘핑 크림 올라가는데 괜찮으세요?,아뇨 빼 주세요
170,후불로도 결제가 가능한가요?,아니요 선불로만 결제 가능합니다
172,후불로도 가능한가요?,아니요 저희는 선불만 가능합니다
206,회화 디자인 분야를 다하나요?,아뇨 일반적으로 그려보고 잘하는 쪽으로요
222,회원비는 있나요?,아뇨 없어요
224,회원분이신가요?,회원이 아니에요
231,회원가입해야 이용 가능한가요?,아니요 게스트로도 이용 가능하세요
240,회원가입을 해야지만 이용이 가능할까요?,아니요 비회원도 되고 회원도 이용 가능합니다
242,회원가입을 해야지만 이용이 가능한가요?,아니요 비회원도 이용 가능하세요
243,회원가입을 해야지만 이용이 가능한가요?,아니요 비회원도 이용 가능하세요
244,회원가입을 해야지만 이용이 가능한가요?,아니요 비회원으로도 할 수 있습니다
245,회원가입을 해야지만 이용이 가능 한가요?,아니요 비회원으로도 이용 가능합니다
246,회원가입을 해야지만 이용을 할 수 있나요?,아니요 비회원도 이용 가능합니다
248,회원가입을 해야지 이용할 수 있나요?,아니요 비회원으로도 가능해요
250,회원가입을 해야지 이용 가능한가요?,아니요 비회원으로도 이용 가능하세요
251,회원가입을 해야만 이용이 가능한가요?,아니요 비회원도 가능합니다
252,회원가입을 해야만 이용이 가능한가요?,아니요 비회원도 이용할 수 있습니다
253,회원가입을 해야만 이용이 가능한가요?,아니요 비회원으로 이용 가능하세요
254,회원가입을 해야만 이용이 가능한가요?,아니요 회원가입을 하지 않아도 이용 가능합니다
255,회원가입을 해야만 사용이 가능한가요?,아니요 비회원도 이용 가능하세요
278,회원 요금이에요?,아니요 회원가입하시면 800원입니다
289,회색 있어요?,회색인데 완전 회색은 아니고요
336,화학물질은 아니고?,"화학은 아니고 천연이지요, 바닷물 속의 진흙하고 화산 폭발할 때 나오는 재하고 바닷물에 들어가서 굳어진 돌가루가 오땡큐 제품 속에 들어 있어요"
431,화장실은 남녀 분리 되어 있어요?,아뇨
463,화장실 남녀 공용인가요?,아닙니다
579,혹시라도 예전에 여권 만드신 여권 있으신가요,아니요 아니요 없어요
595,혹시 후불도 가능한가요?,아니요 선불만 가능합니다
600,혹시 회원가입을 해야지만 이용이 가능한가요?,아니요 비회원으로도 이용 가능합니다
601,혹시 회원가입을 해야지만 사용이 가능한가요?,아니요 비회원도 사용 가능합니다
606,혹시 혹시 차량이 공동명의거나 법인차량은 아니십니까?,아닙니다.
618,혹시 할인되는 거 있어요?,아뇨 이거는 행사 제품이라서 따로 할인 안되세요
639,혹시 포켓볼 당구대도 있나요?,아니요 저희 가게에는 포켓볼 당구대는 없어요
667,혹시 커플석이라든지 이런 건 있나요?,아니요 커플석은 없습니다
670,혹시 커플석 있어요?,아니요 커플석은 없습니다
673,혹시 커플석 같은 것도 있나요?,아니요 커플석은 없습니다
678,혹시 카카오페이도 되나요?,아니오 안돼요
696,혹시 체크카드 되나요?,아니요
702,혹시 찾으시는 제품 있으세요?,아니요 찾는 건 따로 없고 그냥 편하게 입으려고요
715,혹시 차량번호는 알고 계십니까?,아뇨 그거를 몰라서 이제 어떻게 돼야 하나
729,혹시 차량번호 기억하고 계십니까?,아니요 번호는 잘 모르겠어요.
756,혹시 지금 거주하는 분이 없다면 지금이라도 혹시 계량기 숫자 확인 하실 수 있으시겠습니까?,아니에요. 못하지요 집을 이사를 벌써 한 달 됐는데
760,혹시 주차할 수 있는 시설은 있을까요?,아니요 주차 시설은 없습니다
761,혹시 주차할 수 있는 공간은 있나요?,아니요 주차할 데는 없습니다
770,혹시 주말에도 영업하시나요?,아니요 주말은 쉽니다
779,혹시 젓가락은 대나무 젓가락 주시나요?,아니요
793,혹시 장애인은 아니시구요,아닙니다.
827,혹시 이거 환불 가능한가요?,아니요 환불은 불가합니다. 
856,혹시 원장 선생님 계시나요?,아뇨 지금은 출장 가셨어요
903,혹시 여기서 만드시는가요?,수제는 아니에요
908,혹시 여기 흡연 가능한가요?,"아니요 죄송하지만, 이 건물은 금연구역입니다"
936,혹시 여기 배달되시는가요?,아니오 저희 배달은 안 해요
946,혹시 엘피지거나 그렇지는 않으시구요,그런 건 아니고요
957,혹시 양도인한테 서류는 받으셨습니까?,아니 우리가 양도인이라니까요
959,혹시 약 성분에 졸리는 성분도 있나요?,아니요 졸리는 성분은 없습니다
967,혹시 아이리시 커피도 판매하나요?,아니요 아이리쉬 커피는 판매하지 않습니다. 
