,pre_turn_1,pre_turn_2,pre_turn_3,question,answer,after_turn_1,after_turn_2,after_turn_3,after_turn_4,pre_turn_4,pre_turn_5,after_turn_5
0,,,,"sí dime, te presiono uno? _x0015__x0015_",okey sí. _x0015__x0015_,ya? _x0015__x0015_,sí ya. _x0015__x0015_,"okey, pero  xxx qué el xxx o sea tú ya lo xxxajá. _x0015__x0015_","okey. _x0015__x0015_ sí ya lo dije, ya lo dije. _x0015__x0015_ ",,,
1,,,,escuchaste? _x0015__x0015_,"sí, sí, sí. _x0015__x0015_","sí ya, bueno, no puedes hablar cualquier cosa que se te antoje. _x0015__x0015_",,"xxx bueno pues. llegué . _x0015__x0015_ Esta la que, qu- te dije desde antes que no puede decir el nombre._x0015__x0015_",ajá sí . _x0015__x0015_,,,
2,,,,lo oíste? _x0015__x0015_,"sí, lo oí. _x0015__x0015_",okey. bien. _x0015__x0015_,ajá. _x0015__x0015_,cómo están las cosas? _x0015__x0015_,"bien. aquí, aquí Esta friíto hoy. _x0015__x0015_",,,
3,,,,tú lo escuchaste? _x0015__x0015_,sí. _x0015__x0015_,"ah okey. _x0015__x0015_ so@s, Un mensaje informando que Su tiempo está por terminar,por favor finalice Su conversación y cuelgue tan pronto como sea Leposible.  pero tiene que ser por treinta minutos. _x0015__x0015_",que hablemos? _x0015__x0015_,yo creo.,"ah no, pero esto es tan . _x0015__x0015_ y ya está grabando? _x0015__x0015_",,,
4,,,,hello@s ? _x0015__x0015_,"sí, dime Alvin. _x0015__x0015_","sí, es Una oferta que me dieron yo Le lla- yo Le, Le, Le ofrecí aJosefa lo mismo, también así que es posible que esté llamando a Tupapá o a Tu . _x0015__x0015_ casa, o algo, pronto. _x0015__x0015_",,"tres minu-, treinta minutos gratis. _x0015__x0015_","coño, pero qué bueno. ",,,
5,,,,"t- tú, tú estás oyendo? ",sí. _x0015__x0015_,sí.,"y,  ",,cómo va a ser? _x0015__x0015_,,,
6,ya? _x0015__x0015_,,,"sí oíste lo que dijo? por estudios científicos, ",sí.," sí, este, . _x0015__x0015_","n-, u-, a-, este, tengo a Lorena en otra llamada, no me cuelgues,ahorita &+t . _x0015__x0015_"," _x0015__x0015_ ah, sí, no, no, no, no, no, no, pero no cuelgas tú? ","no, no se cuelga. _x0015__x0015_",,,
7,va a ser grabado. _x0015__x0015_,,,ya? _x0015__x0015_ sí. _x0015__x0015_ m- sí. _x0015__x0015_,"y si se puede va a ser publicado, o sea que si . _x0015__x0015_","ah, ya. _x0015__x0015_"," si aceptas . _x0015__x0015_ lo graban, si no aceptas entonces . _x0015__x0015_",sí. _x0015__x0015_,colgamos. _x0015__x0015_,,,
8,,aló. _x0015__x0015_,,"bueno, listo ya. sí oíste lo que dijo? _x0015__x0015_",ya  . _x0015__x0015_ sí. _x0015__x0015_,"bueno, ",,,sí. _x0015__x0015_,,,
9,mhm. _x0015__x0015_,mónica? _x0015__x0015_,,escuchaste? _x0015__x0015_,sí. _x0015__x0015_,"okey. _x0015__x0015_ no, okey este mmh . _x0015__x0015_ ah, bueno ya m- qué pasó? averiguaste? _x0015__x0015_",de qué se supone que tenemos que hablar aquí? _x0015__x0015_,es en Una cosa Una xxx . _x0015__x0015_,"sí ave-, averigüé lo que, lo de francia. _x0015__x0015_",,,
10,sí? _x0015__x0015_,bueno? _x0015__x0015_,,sí oíste lo que dijeron? _x0015__x0015_,"sí, Susana. _x0015__x0015_","y cómo c-, t-, qué te parece? está bien? _x0015__x0015_",es eh de la escuela? _x0015__x0015_,"es, es de aquí de la universidad. ","oh, okey. _x0015__x0015_",,,
11,"nad-, s-, eh, sí, que eh, era para, para . _x0015__x0015_","qué dijeron, Nada? _x0015__x0015_",aló. _x0015__x0015_,que ya estaban listos? _x0015__x0015_,"sí que ya estaba listo. entonces ya comienza. sí, sí, sí. _x0015__x0015_","ya no Nada. está bien, no es  . _x0015__x0015_",pero me lo entrega cuando están hablando. aló. _x0015__x0015_,"sí y qué, y usted no, no puede, no, usted no, no, no se mete enconversaciones o qué? _x0015__x0015_","xxx . _x0015__x0015_ no, no pero es que pensé que lo iban poner a grabar, tía. ah, pues yo claro, a ver. doña marina como está, mmh? _x0015__x0015_",,,
12,smack cómo se llama eso?,,mhm. _x0015__x0015_,tú me oyes? _x0015__x0015_,sí. _x0015__x0015_," eh, Nena, Dana se iba a desmayar con ac- est- Nena est- a a losorientales, . _x0015__x0015_",mhm. _x0015__x0015_,,xxx . _x0015__x0015_,,,
13,"bien. aquí, aquí Esta friíto hoy. _x0015__x0015_",cómo están las cosas? _x0015__x0015_,ajá. _x0015__x0015_,está frío? _x0015__x0015_,"sí, está xxx está como en los cincuenta, por ahí. _x0015__x0015_","ah, diantres que . _x0015__x0015_","pero como los xxx están dando, este, calefacción todavía, como quehace friíto. _x0015__x0015_",ah. _x0015__x0015_,"I mean@s es- e- e- está bueno, pero . _x0015__x0015_",,,
14,yes@s . _x0015__x0015_,dile que yes@s . _x0015__x0015_,mhm. _x0015__x0015_,hello@s ? _x0015__x0015_,sí. _x0015__x0015_,"oh, y qué, cómo estás loca? _x0015__x0015_",dime y qué?  bien. _x0015__x0015_,,"ahí, bien. _x0015__x0015_",,,
15,"pero quizá, quizás, eh, se rebaja ahora. _x0015__x0015_","e-, ay sí, como nunca, yo nunca había sufrido de Nada de eso.  y vómito, uh Una xxx. no puedo comer mucho  bueno, ",no me diga. _x0015__x0015_," por el hecho de que,  tú entiendes?  tú ves?     dime Una cosa, que hablé con elisabeth@s ahora, que cumpleaños. _x0015__x0015_",sí . _x0015__x0015_,qué dizque cancelaron el viaje? _x0015__x0015_,"sí. _x0015__x0015_ no, lo cancelé yo. _x0015__x0015_",a tú no vas? _x0015__x0015_,"yo sola que no voy, pero ni xxx ni, toda esa gente van. _x0015__x0015_",,,
16,"mmh todavía no lo, sí. _x0015__x0015_","pero bueno, qué se va a hacer? ya Le ponemos sus florecitas y eso. _x0015__x0015_",sí . _x0015__x0015_,"oye, hija, te quiero decir, está bien que yo vaya el jueves? _x0015__x0015_",sí. _x0015__x0015_,sí? _x0015__x0015_,el martes no se puede? _x0015__x0015_,"no, el jueves porque el el martes es muy este, muy y el acuérdateque ","bueno, el jueves tengo más tiempo que el miércoles y el lunes . _x0015__x0015_",,,
17,"aquí hombre, aquí estoy con el robito. _x0015__x0015_","que hace hace días que estamos intentando con la seño, . _x0015__x0015_ y Nada.  qué tal, como te va césar? _x0015__x0015_","que, . _x0015__x0015_ ",estás con el robi? _x0015__x0015_,sí. _x0015__x0015_,"ya, oy que lindo, ",de salud? _x0015__x0015_,"de salud, que estas, . _x0015__x0015_",e amor . _x0015__x0015_,,,
18,ah. _x0015__x0015_,"y creo que hoy día era el último día. _x0015__x0015_ so@s lo aproveché, dije, voy a llamarles . _x0015__x0015_ antes que se me pierda eso. _x0015__x0015_",ah ya ya. _x0015__x0015_,y aquí estoy. Mi mamá no está ahí? _x0015__x0015_,sí. _x0015__x0015_,qué están haciendo? _x0015__x0015_,acabamos de almorzar ahorita. _x0015__x0015_,oh. _x0015__x0015_,,,,
19,la cosa de los zapatos  . _x0015__x0015_,la qué? _x0015__x0015_,quiero que tú me mandes el spray ése. _x0015__x0015_ la cosa de los zapatos. _x0015__x0015_,"ah, para proteger los zapatos? _x0015__x0015_",sí. _x0015__x0015_ la ba- cosa Blanca para los . _x0015__x0015_," no, ec- qué es lo que era? _x0015__x0015_",la cosa ésa para zapatos. _x0015__x0015_,&+pare . _x0015__x0015_,Una como Una cosa Blanca que uno lo pasa. _x0015__x0015_,,,
20,"oye . _x0015__x0015_ bien porque llaman tan tarde, vale? _x0015__x0015_ iban a llamar a las diez? _x0015__x0015_",ajá cómo se encuentran? _x0015__x0015_,Mira Daniel . _x0015__x0015_,"ah bueno aquí Un co- e- l- cul- hay Un culto aquí especial, laiglesia Del calvario con invitados . _x0015__x0015_ y eso se prolongó y . _x0015__x0015_ y bueno después ve- vino la, tú sabes la la cena y la cosa y eso ._x0015__x0015_ y Un video, que pa- estaban pasando parte Del video Esta noche . _x0015__x0015_ y todo se prolongó, por lo, por lo tanto ese es el m-, ese es elmotivo, no? _x0015__x0015_","ah sí, se Les hizo tarde? _x0015__x0015_","sí, yo sé que ustedes se acuestan tarde. _x0015__x0015_",mmh.,"mire, cómo, cómo ha, cómo ha ido todo por allá? _x0015__x0015_",bien todo está bien . _x0015__x0015_,,,
21,"no el médico, eso Le dijo, que tenía que estar dos meses acostada,tú ves? _x0015__x0015_","xxx . _x0015__x0015_ sí entonces, y qué Le dice el médico a Ella? _x0015__x0015_","por eso, imagínate. _x0015__x0015_",son dos meses? _x0015__x0015_,"para ver si, . _x0015__x0015_ a ver si se Le une eso. _x0015__x0015_","ay dios mío, qué cosas verdad? _x0015__x0015_","te llamo a Juan, Divina? _x0015__x0015_","ah yo tengo media hora para hablar con, con ustedes porque e-, a-,m- e-, hablemos Un ratico y después me llamas a Juan, . _x0015__x0015_","ah,  ah &+buen . _x0015__x0015_",,,
22,"ah bueno aquí Un co- e- l- cul- hay Un culto aquí especial, laiglesia Del calvario con invitados . _x0015__x0015_ y eso se prolongó y . _x0015__x0015_ y bueno después ve- vino la, tú sabes la la cena y la cosa y eso ._x0015__x0015_ y Un video, que pa- estaban pasando parte Del video Esta noche . _x0015__x0015_ y todo se prolongó, por lo, por lo tanto ese es el m-, ese es elmotivo, no? _x0015__x0015_","oye . _x0015__x0015_ bien porque llaman tan tarde, vale? _x0015__x0015_ iban a llamar a las diez? _x0015__x0015_",ajá cómo se encuentran? _x0015__x0015_,"ah sí, se Les hizo tarde? _x0015__x0015_","sí, yo sé que ustedes se acuestan tarde. _x0015__x0015_",mmh.,"mire, cómo, cómo ha, cómo ha ido todo por allá? _x0015__x0015_",bien todo está bien . _x0015__x0015_,cómo se Han sentido en Su nuevo ambiente? _x0015__x0015_,,,
23,él se está portando bien. _x0015__x0015_,y xxx cómo se está portando? _x0015__x0015_,"ah, eso está bueno. _x0015__x0015_",está comiendo? _x0015__x0015_,"sí, está comiendo. _x0015__x0015_",xxx que quería ponerse a rebajar? _x0015__x0015_,"sí, estaba en eso. _x0015__x0015_","y, Ella estaba tan gorda? _x0015__x0015_",no xxx  . _x0015__x0015_,,,
24,ajá. _x0015__x0015_,okey? _x0015__x0015_,ajá. _x0015__x0015_,"ah, es pensilvania Nada más?  ","sí, eh a mí me había dicho eso Angela, pero cómo se llama yo dijesi puede ser para yo también hacer llamadas aquí cómo se llama",sí   ey. _x0015__x0015_ oiga tía. _x0015__x0015_,"qué, Mi hi-? _x0015__x0015_","pues, así que Le presentó el divorcio? _x0015__x0015_",sí. _x0015__x0015_,,,
